time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.445,87.6,0.323,3.427,0.044,0x04,0x0E,DISCHARGING
2001,3.387,100.4,0.323,3.377,0.044,0x04,0x0E,DISCHARGING
4002,3.367,98.4,0.323,3.346,0.837,0x04,0x0E,DISCHARGING
6003,3.338,102.8,0.323,3.327,0.837,0x04,0x0E,DISCHARGING
8005,3.318,87.6,0.323,3.321,0.837,0x04,0x0E,DISCHARGING
10006,3.318,102.0,0.323,3.302,0.837,0x04,0x0E,DISCHARGING
12007,3.289,109.6,0.323,3.29,0.837,0x04,0x0E,DISCHARGING
14009,3.299,108.8,0.773,3.284,0.837,0x04,0x0E,DISCHARGING
16010,3.299,94.4,0.773,3.277,-1.629,0x04,0x0E,DISCHARGING
18012,3.308,109.6,0.773,3.271,-1.629,0x04,0x0E,DISCHARGING
20013,3.284,101.6,0.773,3.265,-1.629,0x04,0x0E,DISCHARGING
22014,3.294,106.0,-1.226,3.259,-1.629,0x04,0x0E,DISCHARGING
24016,3.274,101.2,-1.226,3.259,-2.422,0x04,0x0E,DISCHARGING
26017,3.269,100.4,-1.226,3.252,-1.629,0x04,0x0E,DISCHARGING
28018,3.264,115.2,-1.226,3.252,-2.422,0x04,0x0E,DISCHARGING
30020,3.26,104.0,-1.226,3.252,-1.629,0x04,0x0E,DISCHARGING
32021,3.26,106.0,-1.226,3.246,-1.629,0x04,0x0E,DISCHARGING
34023,3.255,100.4,-1.226,3.252,-1.629,0x04,0x0E,DISCHARGING
36024,3.264,102.0,-1.226,3.24,-2.422,0x04,0x0E,DISCHARGING
38025,3.25,104.0,-1.226,3.24,-2.422,0x04,0x0E,DISCHARGING
40026,3.25,101.6,-1.226,3.24,-2.422,0x04,0x0E,DISCHARGING
42028,3.25,104.8,-1.226,3.246,-2.422,0x04,0x0E,DISCHARGING
44029,3.245,101.6,-1.226,3.24,-2.422,0x04,0x0E,DISCHARGING
46031,3.274,106.0,-1.226,3.234,-2.422,0x04,0x0E,DISCHARGING
48032,3.245,102.0,-1.226,3.234,-3.215,0x04,0x0E,DISCHARGING
50033,3.245,102.4,-1.226,3.234,-2.422,0x04,0x0E,DISCHARGING
52035,3.25,101.2,-1.226,3.228,-3.215,0x04,0x0E,DISCHARGING
54037,3.245,109.6,-1.226,3.228,-3.215,0x04,0x0E,DISCHARGING
56038,3.24,108.8,-1.226,3.228,-3.215,0x04,0x0E,DISCHARGING
58039,3.25,101.6,-1.226,3.221,-3.215,0x04,0x0E,DISCHARGING
60041,3.23,106.0,-1.226,3.221,-2.422,0x04,0x0E,DISCHARGING
62042,3.24,109.6,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
64044,3.23,115.2,-1.226,3.221,-3.215,0x04,0x0E,DISCHARGING
66046,3.23,104.8,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
68048,3.23,89.2,-1.226,3.221,-3.215,0x04,0x0E,DISCHARGING
70049,3.23,104.4,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
72051,3.225,100.4,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
74052,3.23,115.2,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
76054,3.22,106.0,-1.226,3.215,-3.215,0x04,0x0E,DISCHARGING
78056,3.22,100.4,-1.226,3.209,-3.215,0x04,0x0E,DISCHARGING
80057,3.23,106.0,-1.226,3.209,-4.007,0x04,0x0E,DISCHARGING
82059,3.216,101.6,-1.226,3.203,-3.215,0x04,0x0E,DISCHARGING
84061,3.22,102.0,-1.226,3.203,-3.215,0x04,0x0E,DISCHARGING
86063,3.22,94.4,-1.226,3.203,-3.215,0x04,0x0E,DISCHARGING
88065,3.22,109.2,-1.226,3.203,-3.215,0x04,0x0E,DISCHARGING
90066,3.22,110.0,-1.226,3.203,-3.215,0x04,0x0E,DISCHARGING
92068,3.23,104.8,-1.226,3.196,-3.215,0x04,0x0E,DISCHARGING
94070,3.211,104.8,-1.226,3.196,-3.215,0x04,0x0E,DISCHARGING
96071,3.211,109.6,-1.226,3.209,-3.215,0x04,0x0E,DISCHARGING
98073,3.211,107.2,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
100074,3.206,110.0,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
102076,3.206,101.6,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
104078,3.216,107.2,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
106080,3.206,104.8,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
108082,3.211,104.8,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
110083,3.211,102.0,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
112085,3.211,110.4,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
114086,3.206,96.0,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
116088,3.225,109.6,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
118090,3.216,104.0,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
120091,3.216,106.0,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
122092,3.211,101.2,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
124093,3.211,107.6,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
126095,3.206,115.2,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
128096,3.211,108.8,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
130098,3.206,107.6,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
132099,3.206,104.0,-1.226,3.184,-4.8,0x04,0x0E,DISCHARGING
134101,3.206,104.8,-1.226,3.184,-4.8,0x04,0x0E,DISCHARGING
136102,3.211,106.8,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
138104,3.211,100.4,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
140105,3.211,87.6,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
142106,3.211,104.8,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
144108,3.186,102.0,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
146109,3.211,104.4,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
148467,3.167,142.4,-1.226,3.146,-4.007,0x04,0x0E,DISCHARGING
150468,3.167,139.6,-1.226,3.146,-4.007,0x04,0x0E,DISCHARGING
152470,3.172,145.6,-1.226,3.14,-4.8,0x04,0x0E,DISCHARGING
154472,3.167,128.0,-1.226,3.14,-4.007,0x04,0x0E,DISCHARGING
156473,3.186,139.6,-1.226,3.14,-4.8,0x04,0x0E,DISCHARGING
158475,3.167,144.4,-1.226,3.14,-4.007,0x04,0x0E,DISCHARGING
160477,3.157,142.4,-1.226,3.134,-4.007,0x04,0x0E,DISCHARGING
162479,3.152,143.2,-1.226,3.134,-4.8,0x04,0x0E,DISCHARGING
164481,3.157,142.4,-1.226,3.14,-4.8,0x04,0x0E,DISCHARGING
166483,3.157,144.4,-1.226,3.128,-4.8,0x04,0x0E,DISCHARGING
168485,3.157,142.8,-1.226,3.128,-4.007,0x04,0x0E,DISCHARGING
170487,3.157,140.0,-1.226,3.128,-4.007,0x04,0x0E,DISCHARGING
172489,3.152,144.4,-1.226,3.128,-4.8,0x04,0x0E,DISCHARGING
174490,3.152,142.4,-1.226,3.134,-4.8,0x04,0x0E,DISCHARGING
176491,3.152,140.0,-1.226,3.128,-4.007,0x04,0x0E,DISCHARGING
178493,3.147,142.4,-1.226,3.128,-4.007,0x04,0x0E,DISCHARGING
180495,3.157,138.8,-1.226,3.128,-4.007,0x04,0x0E,DISCHARGING
182496,3.152,132.4,-1.226,3.128,-4.8,0x04,0x0E,DISCHARGING
184498,3.142,138.8,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
186499,3.152,148.0,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
188501,3.147,142.4,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
190502,3.142,141.6,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
192503,3.137,142.0,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
194505,3.157,142.4,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
196506,3.137,144.4,-1.226,3.122,-4.8,0x04,0x0E,DISCHARGING
198508,3.132,140.0,-1.226,3.122,-4.007,0x04,0x0E,DISCHARGING
200509,3.132,140.8,-1.226,3.122,-4.8,0x04,0x0E,DISCHARGING
202510,3.132,138.8,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
204512,3.132,142.4,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
206513,3.132,138.8,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
208515,3.137,127.6,-1.226,3.115,-4.8,0x04,0x0E,DISCHARGING
210516,3.132,142.4,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
212517,3.132,138.8,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
214518,3.137,144.4,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
216520,3.152,129.6,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
218521,3.132,141.2,-1.226,3.115,-4.007,0x04,0x0E,DISCHARGING
220522,3.132,139.6,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
222524,3.128,142.8,-1.226,3.109,-4.8,0x04,0x0E,DISCHARGING
224525,3.132,138.8,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
226527,3.132,142.8,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
228528,3.132,148.8,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
230529,3.132,144.4,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
232531,3.132,144.4,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
234532,3.132,148.0,-1.226,3.103,-4.8,0x04,0x0E,DISCHARGING
236534,3.128,144.4,-1.226,3.109,-4.8,0x04,0x0E,DISCHARGING
238535,3.137,144.4,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
240537,3.128,141.2,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
242538,3.137,127.6,-1.226,3.103,-4.8,0x04,0x0E,DISCHARGING
244540,3.132,138.8,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
246541,3.132,142.8,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
248542,3.132,142.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
250544,3.132,137.2,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
252545,3.132,140.0,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
254547,3.132,142.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
256548,3.132,142.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
258550,3.123,142.4,-1.226,3.097,-4.8,0x04,0x0E,DISCHARGING
260551,3.132,140.0,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
262553,3.118,147.2,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
264554,3.118,140.0,-1.226,3.103,-4.007,0x04,0x0E,DISCHARGING
266556,3.118,140.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
268557,3.113,128.399,-1.226,3.109,-4.007,0x04,0x0E,DISCHARGING
270558,3.147,139.6,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
272559,3.113,144.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
274561,3.128,138.8,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
276562,3.132,129.6,-1.226,3.097,-4.8,0x04,0x0E,DISCHARGING
278563,3.113,138.8,-1.226,3.097,-4.8,0x04,0x0E,DISCHARGING
280565,3.118,147.2,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
282567,3.113,138.8,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
284568,3.113,143.2,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
286569,3.118,142.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
288571,3.113,144.4,-1.226,3.097,-4.8,0x04,0x0E,DISCHARGING
290572,3.113,143.2,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
292573,3.128,144.4,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
294574,3.113,142.8,-1.226,3.097,-4.8,0x04,0x0E,DISCHARGING
296575,3.113,140.4,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
298577,3.113,148.0,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
300578,3.113,144.4,-1.226,3.084,-4.8,0x04,0x0E,DISCHARGING
302579,3.113,147.2,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
304581,3.108,144.4,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
306582,3.118,148.0,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
308584,3.108,144.4,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
310586,3.113,126.8,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
312588,3.113,145.6,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
314589,3.108,148.0,-1.226,3.09,-4.8,0x04,0x0E,DISCHARGING
316591,3.113,148.0,-1.226,3.09,-4.8,0x04,0x0E,DISCHARGING
318593,3.103,145.6,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
320595,3.103,145.6,-1.226,3.097,-4.007,0x04,0x0E,DISCHARGING
322596,3.118,142.4,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
324597,3.113,153.6,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
326598,3.108,144.4,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
328600,3.113,140.0,-1.226,3.09,-4.007,0x04,0x0E,DISCHARGING
330601,3.113,144.8,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
332603,3.093,153.6,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
334605,3.113,138.8,-1.226,3.084,-4.8,0x04,0x0E,DISCHARGING
336607,3.118,143.2,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
338609,3.103,142.4,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
340611,3.098,148.0,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
342613,3.113,143.2,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
344614,3.103,142.8,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
346616,3.118,144.4,-1.226,3.084,-4.8,0x04,0x0E,DISCHARGING
348618,3.098,142.0,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
350619,3.098,142.4,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
352621,3.103,138.8,-1.226,3.084,-4.8,0x04,0x0E,DISCHARGING
354622,3.098,142.4,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
356624,3.093,142.8,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
358626,3.093,142.4,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
360628,3.093,147.2,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
362630,3.118,140.4,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
364631,3.093,140.4,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
366633,3.093,145.2,-1.226,3.078,-4.8,0x04,0x0E,DISCHARGING
368634,3.098,138.8,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
370636,3.098,138.8,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
372638,3.098,139.6,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
374640,3.103,132.8,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
376641,3.093,142.8,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
378642,3.093,142.4,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
380644,3.093,142.8,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
382645,3.103,147.2,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
384646,3.093,140.4,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
386648,3.098,144.4,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
388650,3.093,153.6,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
390652,3.098,148.0,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
392653,3.093,127.6,-1.226,3.084,-4.007,0x04,0x0E,DISCHARGING
394654,3.093,139.6,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
396656,3.093,142.8,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
398657,3.093,142.4,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
400659,3.093,131.6,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
402660,3.098,139.6,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
404661,3.093,143.2,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
406663,3.093,139.6,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
408664,3.088,138.8,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
410665,3.093,144.4,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
412667,3.093,144.4,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
414668,3.093,144.4,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
416669,3.093,138.8,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
418671,3.098,144.4,-1.226,3.072,-4.007,0x04,0x0E,DISCHARGING
420672,3.093,142.8,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
422673,3.093,138.8,-1.226,3.065,-4.8,0x04,0x0E,DISCHARGING
424675,3.113,148.0,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
426676,3.093,140.4,-1.226,3.078,-4.007,0x04,0x0E,DISCHARGING
428678,3.098,145.6,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
430679,3.103,138.8,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
432680,3.098,145.6,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
434681,3.088,128.399,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
436682,3.093,144.8,-1.226,3.065,-4.8,0x04,0x0E,DISCHARGING
438684,3.088,153.6,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
440685,3.093,144.4,-1.226,3.072,-4.8,0x04,0x0E,DISCHARGING
442686,3.088,126.0,-1.226,3.065,-4.8,0x04,0x0E,DISCHARGING
444687,3.093,142.8,-1.226,3.065,-4.007,0x04,0x0E,DISCHARGING
446689,3.093,142.4,-1.226,3.065,-4.8,0x04,0x0E,DISCHARGING
449045,3.064,186.4,-1.226,3.028,-4.8,0x04,0x0E,DISCHARGING
451047,3.069,192.0,-1.226,3.016,-4.007,0x04,0x0E,DISCHARGING
453049,3.054,192.4,-1.226,3.016,-4.007,0x04,0x0E,DISCHARGING
455051,3.054,188.0,-1.226,3.016,-4.007,0x04,0x0E,DISCHARGING
457053,3.049,179.2,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
459054,3.04,186.4,-1.226,3.016,-4.007,0x04,0x0E,DISCHARGING
461056,3.04,193.6,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
463058,3.054,192.0,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
465060,3.054,183.6,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
467061,3.059,192.4,-1.226,3.016,-4.007,0x04,0x0E,DISCHARGING
469062,3.04,187.6,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
471064,3.054,186.8,-1.226,3.003,-4.8,0x04,0x0E,DISCHARGING
473066,3.044,192.0,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
475068,3.049,189.6,-1.226,3.003,-4.007,0x04,0x0E,DISCHARGING
477070,3.04,185.2,-1.226,3.009,-4.007,0x04,0x0E,DISCHARGING
479072,3.04,189.6,-1.226,3.003,-4.007,0x04,0x0E,DISCHARGING
481074,3.04,186.4,-1.226,3.003,-4.007,0x04,0x0E,DISCHARGING
483076,3.03,189.2,-1.226,3.003,-4.007,0x04,0x0E,DISCHARGING
